team,season,goalsAgainst,xGoalsAgainst,shotsOnGoalAgainst,savedShotsOnGoalAgainst,highDangerShotsAgainst,highDangerxGoalsAgainst,save_percentage,goals_saved_above_expected
Ottawa Senators,2021,175.0,185.4,2114.0,1939.0,152.0,42.41,0.9172185430463576,10.400000000000006
Philadelphia Flyers,2021,189.0,190.9,2189.0,2000.0,170.0,45.81,0.9136592051164916,1.9000000000000057
Pittsburgh Penguins,2021,154.0,160.12,2048.0,1894.0,145.0,40.32,0.9248046875,6.1200000000000045
San Jose Sharks,2021,179.0,178.84,2082.0,1903.0,142.0,41.5,0.9140249759846302,-0.1599999999999966
Seattle Kraken,2021,189.0,162.5,1880.0,1691.0,143.0,41.97,0.899468085106383,-26.5
St. Louis Blues,2021,171.0,183.27,2113.0,1942.0,150.0,41.51,0.9190724088973024,12.27000000000001
Tampa Bay Lightning,2021,149.0,163.7,1900.0,1751.0,124.0,35.58,0.921578947368421,14.699999999999989
Toronto Maple Leafs,2021,182.0,165.47,1993.0,1811.0,133.0,38.12,0.9086803813346712,-16.53
Vancouver Canucks,2021,143.0,166.18,2052.0,1909.0,129.0,35.38,0.9303118908382066,23.180000000000007
Vegas Golden Knights,2021,166.0,170.93,1954.0,1788.0,163.0,45.31,0.9150460593654044,4.930000000000007
Washington Capitals,2021,157.0,155.95,1878.0,1721.0,140.0,37.92,0.9164004259850904,-1.0500000000000114
Winnipeg Jets,2021,162.0,185.02,2104.0,1942.0,169.0,45.69,0.9230038022813688,23.02000000000001
Anaheim Ducks,2022,224.0,221.12,2540.0,2316.0,207.0,56.4,0.9118110236220472,-2.8799999999999955
Arizona Coyotes,2022,181.0,188.62,2090.0,1909.0,163.0,43.22,0.9133971291866028,7.620000000000003
Boston Bruins,2022,114.0,162.14,1861.0,1747.0,166.0,45.05,0.938742611499194,48.13999999999999
Buffalo Sabres,2022,204.0,195.34,2111.0,1907.0,172.0,49.0,0.9033633349123638,-8.659999999999997
Calgary Flames,2022,169.0,159.77,1702.0,1533.0,163.0,45.58,0.900705052878966,-9.22999999999999
Carolina Hurricanes,2022,139.0,136.64,1621.0,1482.0,118.0,31.55,0.9142504626773597,-2.3600000000000136
Chicago Blackhawks,2022,208.0,199.38,2227.0,2019.0,206.0,57.06,0.9066008082622362,-8.620000000000005
Colorado Avalanche,2022,145.0,160.66,1998.0,1853.0,149.0,40.33,0.9274274274274276,15.659999999999997
Columbus Blue Jackets,2022,231.0,213.18,2334.0,2103.0,208.0,59.35,0.9010282776349614,-17.819999999999993
Dallas Stars,2022,145.0,158.23,1910.0,1765.0,141.0,38.72,0.9240837696335078,13.22999999999999
Detroit Red Wings,2022,185.0,164.53,1933.0,1748.0,152.0,41.76,0.9042938437661666,-20.47
Edmonton Oilers,2022,169.0,163.97,1962.0,1793.0,142.0,39.81,0.9138634046890928,-5.030000000000001
Florida Panthers,2022,160.0,173.16,1940.0,1780.0,166.0,47.48,0.9175257731958762,13.159999999999997
Los Angeles Kings,2022,159.0,158.72,1717.0,1558.0,142.0,38.9,0.9073966220151428,-0.2800000000000011
Minnesota Wild,2022,140.0,165.05,1974.0,1834.0,142.0,40.08,0.9290780141843972,25.05000000000001
Montreal Canadiens,2022,200.0,203.85,2097.0,1897.0,234.0,62.23,0.9046256556986172,3.8499999999999934
Nashville Predators,2022,153.0,199.01,2086.0,1933.0,190.0,52.04,0.926653883029722,46.00999999999999
New Jersey Devils,2022,155.0,164.22,1842.0,1687.0,140.0,38.6,0.9158523344191096,9.22
New York Islanders,2022,145.0,181.77,2013.0,1868.0,190.0,53.18,0.9279682066567312,36.77000000000001
New York Rangers,2022,153.0,174.2,1940.0,1787.0,169.0,45.29,0.9211340206185566,21.19999999999999
